O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT,Cust_name,Mrkt_segment
103,292,O,118745.16,6/20/1996,4-NOT SPECIFIED,Clerk#000000090,0,carefully ironic deposits are quickly blithely even,Customer#000000292,HOUSEHOLD
128,740,F,34997.04,6/15/1992,1-URGENT,Clerk#000000385,0,carefully special e,Customer#000000740,BUILDING
129,712,F,254281.41,11/19/1992,5-LOW,Clerk#000000859,0,slyly bold dolphins cajole c,Customer#000000712,BUILDING
130,370,F,140213.54,5/8/1992,2-HIGH,Clerk#000000036,0,slyly final accounts among,Customer#000000370,FURNITURE
131,928,F,140726.47,6/8/1994,3-MEDIUM,Clerk#000000625,0,special courts wake blithely accordin,Customer#000000928,HOUSEHOLD
132,265,F,133485.89,6/11/1993,3-MEDIUM,Clerk#000000488,0,ironic platelets according to the evenly regula,Customer#000000265,MACHINERY
133,440,O,95971.06,11/29/1997,1-URGENT,Clerk#000000738,0,slyly silent deposits haggle carefully fluffi,Customer#000000440,MACHINERY
134,62,F,208201.46,5/1/1992,4-NOT SPECIFIED,Clerk#000000711,0,silently even deposits wake about the fluff,Customer#000000062,MACHINERY
135,605,O,230472.84,10/21/1995,4-NOT SPECIFIED,Clerk#000000804,0,"accounts cajole. final, pending dependencies a",Customer#000000605,HOUSEHOLD
160,826,O,114742.32,12/19/1996,4-NOT SPECIFIED,Clerk#000000342,0,unusual dependencie,Customer#000000826,BUILDING
161,167,F,17668.6,8/31/1994,2-HIGH,Clerk#000000322,0,"ironic, even attainments cajole closely",Customer#000000167,AUTOMOBILE
162,142,O,3553.15,5/8/1995,3-MEDIUM,Clerk#000000378,0,instructions nag slyly. fluffily ironic sau,Customer#000000142,AUTOMOBILE
163,878,O,177809.13,9/5/1997,3-MEDIUM,Clerk#000000379,0,carefully express pinto beans serve carefully final as,Customer#000000878,FURNITURE
164,8,F,250417.2,10/21/1992,5-LOW,Clerk#000000209,0,fluffily unusual requests al,Customer#000000008,BUILDING
165,274,F,193302.35,1/30/1993,4-NOT SPECIFIED,Clerk#000000292,0,furiously enticing accounts cajole sometimes. slyly express plat,Customer#000000274,FURNITURE
166,1079,O,158207.39,9/12/1995,2-HIGH,Clerk#000000440,0,bold dependencies wake furiously regula,Customer#000001079,AUTOMOBILE
167,1195,F,64017.85,1/4/1993,4-NOT SPECIFIED,Clerk#000000731,0,express warhorses wake carefully furiously ironic deposits. c,Customer#000001195,FURNITURE
192,826,O,194637.57,11/25/1997,5-LOW,Clerk#000000483,0,silent requests above the furiously even pinto beans sleep bl,Customer#000000826,BUILDING
193,791,F,80834.26,8/8/1993,1-URGENT,Clerk#000000025,0,"slyly blithe instructions cajole carefully ironic, fina",Customer#000000791,HOUSEHOLD
194,619,F,154284.73,4/5/1992,3-MEDIUM,Clerk#000000352,0,carefully dogged excuses use abou,Customer#000000619,FURNITURE
195,1355,F,216638.92,12/28/1993,3-MEDIUM,Clerk#000000216,0,"ironic, final notornis are fluffily across the carefull",Customer#000001355,AUTOMOBILE
196,649,F,38660.64,3/17/1993,2-HIGH,Clerk#000000988,0,even deposits wake,Customer#000000649,BUILDING
197,326,P,155247.48,4/7/1995,2-HIGH,Clerk#000000969,0,theodolites above the furiously regular deposits sleep blithely abo,Customer#000000326,HOUSEHOLD
198,1103,O,149551.63,1/2/1998,4-NOT SPECIFIED,Clerk#000000331,0,deposits haggle carefully after the furiously fi,Customer#000001103,AUTOMOBILE
199,530,O,95867.7,3/7/1996,2-HIGH,Clerk#000000489,0,"unusual, regular requests c",Customer#000000530,BUILDING
224,25,F,234050.44,6/18/1994,4-NOT SPECIFIED,Clerk#000000642,0,quickly final accounts use even requests. ironic ac,Customer#000000025,FURNITURE
225,331,P,226028.98,5/25/1995,1-URGENT,Clerk#000000177,0,blithely express cou,Customer#000000331,AUTOMOBILE
226,1276,F,256459.4,3/10/1993,2-HIGH,Clerk#000000756,0,"even, ironic theodolites detect fluffily final instructions-- fi",Customer#000001276,AUTOMOBILE
227,100,O,69020.68,11/10/1995,5-LOW,Clerk#000000919,0,"asymptotes are special, special requests. spec",Customer#000000100,FURNITURE
228,442,F,2744.06,2/25/1993,1-URGENT,Clerk#000000562,0,blithely ironic requests boost pending theodolites. even deposits affix fluf,Customer#000000442,FURNITURE
229,1118,F,195619.74,12/29/1993,1-URGENT,Clerk#000000628,0,blithely thin requests along the fluffily regular packages e,Customer#000001118,HOUSEHOLD
230,1027,F,147711.01,10/27/1993,1-URGENT,Clerk#000000520,0,"ironic, silent tithes wake carefully until the even theodolites. special",Customer#000001027,BUILDING
231,910,F,234383.86,9/29/1994,2-HIGH,Clerk#000000446,0,express requests use always at the unusual deposits. silently final acc,Customer#000000910,BUILDING
256,1249,F,132718.67,10/19/1993,4-NOT SPECIFIED,Clerk#000000834,0,special dependencies boost furiously. pendin,Customer#000001249,BUILDING
257,1228,O,9255.12,3/28/1998,3-MEDIUM,Clerk#000000680,0,"final, regular packages nag furiously fluffily f",Customer#000001228,AUTOMOBILE
258,419,F,259466.78,12/29/1993,1-URGENT,Clerk#000000167,0,regularly ironic grouches against the quickly express p,Customer#000000419,BUILDING
259,433,F,110611.59,9/29/1993,4-NOT SPECIFIED,Clerk#000000601,0,"ironic packages haggle among the furiously brave deposits. final, final d",Customer#000000433,FURNITURE
260,1048,O,268084.69,12/10/1996,3-MEDIUM,Clerk#000000960,0,quickly special ideas against the furiously final accounts affix deposits. sl,Customer#000001048,BUILDING
261,461,F,278279.3,6/29/1993,3-MEDIUM,Clerk#000000310,0,final accounts nag fluffily about,Customer#000000461,AUTOMOBILE
262,304,O,173401.63,11/25/1995,4-NOT SPECIFIED,Clerk#000000551,0,"express, regular theodolites wake special instructions. slyly express",Customer#000000304,MACHINERY
263,1162,F,104961.32,5/17/1994,2-HIGH,Clerk#000000088,0,fluffily final ideas use quickly slyly final foxes? fluffily express dolphi,Customer#000001162,AUTOMOBILE
288,71,O,239366.68,2/21/1997,1-URGENT,Clerk#000000109,0,quickly ruthless instructions cajole,Customer#000000071,HOUSEHOLD
289,1039,O,174624.55,2/10/1997,3-MEDIUM,Clerk#000000103,0,slyly express excuses d,Customer#000001039,FURNITURE
290,1180,F,67636.54,1/1/1994,4-NOT SPECIFIED,Clerk#000000735,0,pending instructions against the furiously express d,Customer#000001180,BUILDING
291,1411,F,88375.89,3/13/1994,1-URGENT,Clerk#000000923,0,express requests according to the carefully regular deposits run,Customer#000001411,AUTOMOBILE
292,223,F,54152.77,1/13/1992,2-HIGH,Clerk#000000193,0,furiously special theodolites wake blith,Customer#000000223,BUILDING
293,301,F,46128.56,10/2/1992,2-HIGH,Clerk#000000629,0,"regular instructions grow bold, u",Customer#000000301,HOUSEHOLD
294,505,F,46889.54,7/16/1993,3-MEDIUM,Clerk#000000499,0,idly ironic deposits must have to haggle deposits. blithel,Customer#000000505,HOUSEHOLD
295,190,F,148569.49,9/29/1994,2-HIGH,Clerk#000000155,0,doggedly final requests nag carefull,Customer#000000190,AUTOMOBILE
320,4,O,50202.6,11/21/1997,2-HIGH,Clerk#000000573,0,"carefully silent ideas do solve final, express instructions. quickly final p",Customer#000000004,MACHINERY
321,1226,F,73024.5,3/21/1993,3-MEDIUM,Clerk#000000289,0,quickly silent requests affix sl,Customer#000001226,FURNITURE
322,1336,F,165992.05,3/19/1992,1-URGENT,Clerk#000000158,0,carefully unusual pinto beans lose carefully. even instructions ac,Customer#000001336,AUTOMOBILE
323,392,F,121127.17,3/26/1994,1-URGENT,Clerk#000000959,0,"even, regular instructions",Customer#000000392,BUILDING
324,1052,F,46327.9,3/20/1992,1-URGENT,Clerk#000000352,0,"regular theodolites boost quickly along the ironic, quick realms.",Customer#000001052,BUILDING
325,401,F,94638.59,10/17/1993,5-LOW,Clerk#000000844,0,"carefully fluffy forges about the express, ir",Customer#000000401,BUILDING
326,760,O,325448.68,6/4/1995,2-HIGH,Clerk#000000466,0,regular theodolites was car,Customer#000000760,BUILDING
327,1447,P,32302.12,4/17/1995,5-LOW,Clerk#000000992,0,fluffily ironic deposits across the ironically regular ideas are,Customer#000001447,BUILDING
352,1066,F,25542.02,3/8/1994,2-HIGH,Clerk#000000932,0,"regular, regular pinto beans haggle sly",Customer#000001066,MACHINERY
353,19,F,224983.69,12/31/1993,5-LOW,Clerk#000000449,0,even ideas haggle excuses? slyly ironic packages wake alongside of the qu,Customer#000000019,HOUSEHOLD
354,1384,O,231311.22,3/14/1996,2-HIGH,Clerk#000000511,0,quickly special packages inside the slyly unusual pain,Customer#000001384,HOUSEHOLD
355,701,F,103949.82,6/14/1994,5-LOW,Clerk#000000532,0,carefully even instructio,Customer#000000701,FURNITURE
356,1469,F,189160.02,6/30/1994,4-NOT SPECIFIED,Clerk#000000944,0,fluffily pending theo,Customer#000001469,FURNITURE
357,604,O,138936.83,10/9/1996,2-HIGH,Clerk#000000301,0,carefully bold theodolites cajole f,Customer#000000604,HOUSEHOLD
358,23,F,362024.17,9/20/1993,2-HIGH,Clerk#000000392,0,deposits sublate carefully at t,Customer#000000023,HOUSEHOLD
359,776,F,214770.97,12/19/1994,3-MEDIUM,Clerk#000000934,0,"furiously final foxes are. regular,",Customer#000000776,AUTOMOBILE
384,1132,F,191275.12,3/3/1992,5-LOW,Clerk#000000206,0,regular packages haggle furiously; idle requests wake carefu,Customer#000001132,AUTOMOBILE
385,331,O,75866.47,3/22/1996,5-LOW,Clerk#000000600,0,"asymptotes wake silent, silent",Customer#000000331,AUTOMOBILE
386,602,F,119718.02,1/25/1995,2-HIGH,Clerk#000000648,0,quickly pending instructions unwind furiously theodolites. final package,Customer#000000602,BUILDING
387,34,O,197839.44,1/26/1997,4-NOT SPECIFIED,Clerk#000000768,0,blithely even accounts according to the even packag,Customer#000000034,HOUSEHOLD
388,448,F,161560.04,12/16/1992,4-NOT SPECIFIED,Clerk#000000356,0,accounts wake against the braids. silent accounts snooze slyly blithely ironi,Customer#000000448,BUILDING
389,1270,F,3266.69,2/17/1994,2-HIGH,Clerk#000000062,0,"pending, bold packages boost blithely final package",Customer#000001270,MACHINERY
390,1027,O,232256.36,4/7/1998,5-LOW,Clerk#000000404,0,blithely even pinto beans against the ironic packages boost qu,Customer#000001027,BUILDING
391,1103,F,14517.91,11/17/1994,2-HIGH,Clerk#000000256,0,furiously special deposits wake blithely. qu,Customer#000001103,AUTOMOBILE
416,403,F,106818.5,9/27/1993,5-LOW,Clerk#000000294,0,excuses boost permanently around the carefully pe,Customer#000000403,HOUSEHOLD
417,547,F,132531.73,2/6/1994,3-MEDIUM,Clerk#000000468,0,"pending, regular pinto beans after the final, express accounts boost",Customer#000000547,BUILDING
418,949,P,39431.46,4/13/1995,4-NOT SPECIFIED,Clerk#000000643,0,"quiet, bold ideas a",Customer#000000949,AUTOMOBILE
419,1163,O,159079.22,10/1/1996,3-MEDIUM,Clerk#000000376,0,accounts sleep quickly slyly bo,Customer#000001163,BUILDING
420,902,O,269064.47,10/31/1995,4-NOT SPECIFIED,Clerk#000000756,0,slyly final deposits sublate after the quickly pending deposits,Customer#000000902,AUTOMOBILE
421,392,F,1292.21,2/22/1992,5-LOW,Clerk#000000405,0,"ironic, even account",Customer#000000392,BUILDING
422,731,O,155533.71,5/31/1997,4-NOT SPECIFIED,Clerk#000000049,0,carefully even packages use,Customer#000000731,MACHINERY
423,1034,O,31900.6,6/1/1996,1-URGENT,Clerk#000000674,0,blithely unusual dugouts play quickly along the blithely regular theo,Customer#000001034,HOUSEHOLD
448,1498,O,157247.56,8/21/1995,3-MEDIUM,Clerk#000000597,0,furiously even requests nag carefully.,Customer#000001498,AUTOMOBILE
449,958,O,55082.33,7/20/1995,2-HIGH,Clerk#000000841,0,"final, express requests sleep permanent requests. spe",Customer#000000958,FURNITURE
450,475,P,213638.07,3/5/1995,4-NOT SPECIFIED,Clerk#000000293,0,"deposits wake regular, ironic instructions. bli",Customer#000000475,BUILDING
451,988,O,142756.81,5/25/1998,5-LOW,Clerk#000000048,0,final foxes nag. regul,Customer#000000988,FURNITURE
452,596,O,2072.79,10/14/1997,1-URGENT,Clerk#000000498,0,theodolites should n,Customer#000000596,MACHINERY
453,442,O,343004.49,5/26/1997,5-LOW,Clerk#000000504,0,furiously even deposits use inside the excuses.,Customer#000000442,FURNITURE
454,488,O,24543.95,12/27/1995,5-LOW,Clerk#000000890,0,"fluffily final accounts after the special, ironic pinto",Customer#000000488,AUTOMOBILE
455,121,O,190711.32,12/4/1996,1-URGENT,Clerk#000000796,0,even instructions hagg,Customer#000000121,BUILDING
480,715,F,30644.49,5/8/1993,5-LOW,Clerk#000000004,0,final accounts poach carefully. quickly final platelets boost quickly even ide,Customer#000000715,AUTOMOBILE
481,304,F,160370.14,10/8/1992,2-HIGH,Clerk#000000230,0,ruthlessly ironic packages nag furiously across the slyly regula,Customer#000000304,MACHINERY
482,1252,O,197194.23,3/26/1996,1-URGENT,Clerk#000000295,0,blithely regular as,Customer#000001252,MACHINERY
483,349,O,66194.38,7/11/1995,2-HIGH,Clerk#000000025,0,bold theodolites sl,Customer#000000349,BUILDING
484,544,O,331553.32,1/3/1997,3-MEDIUM,Clerk#000000545,0,fluffily even deposits run foxes; regular packages afte,Customer#000000544,AUTOMOBILE
485,1006,O,142389.7,3/26/1997,2-HIGH,Clerk#000000105,0,"regular, bold asymptotes sleep boldly. carefu",Customer#000001006,BUILDING
486,509,O,286150.09,3/11/1996,4-NOT SPECIFIED,Clerk#000000803,0,quickly final foxes across the expre,Customer#000000509,FURNITURE
487,1079,F,88805.07,8/18/1992,1-URGENT,Clerk#000000086,0,"ironic, express pinto be",Customer#000001079,AUTOMOBILE
512,631,P,183939.48,5/20/1995,5-LOW,Clerk#000000814,0,quickly unusual foxes was fluffily slyly even accounts. pac,Customer#000000631,MACHINERY
513,607,O,78769.71,5/1/1995,2-HIGH,Clerk#000000522,0,always final sentiments haggle furiously around the fluffily ruthles,Customer#000000607,FURNITURE
514,749,O,123202.51,4/4/1996,2-HIGH,Clerk#000000094,0,enticingly quick escapades wake slyly. final acc,Customer#000000749,MACHINERY
515,1420,F,177231.12,8/29/1993,4-NOT SPECIFIED,Clerk#000000700,0,slyly unusual ideas subla,Customer#000001420,AUTOMOBILE
516,440,O,13277.79,4/21/1998,2-HIGH,Clerk#000000305,0,quickly final foxes accord,Customer#000000440,MACHINERY
517,94,O,109269.47,4/7/1997,5-LOW,Clerk#000000359,0,deposits wake always slyly regular requests. blithely,Customer#000000094,HOUSEHOLD
518,1444,O,335285.37,2/8/1998,2-HIGH,Clerk#000000768,0,slyly even ideas hang quickly. carefully final instructi,Customer#000001444,HOUSEHOLD
519,631,O,109395.6,10/31/1997,1-URGENT,Clerk#000000985,0,quick depths are! slyly express requests along the carefully ironic,Customer#000000631,MACHINERY
544,934,F,58960.45,2/17/1993,2-HIGH,Clerk#000000145,0,slyly ironic attainments sleep blith,Customer#000000934,AUTOMOBILE
545,632,O,35129.54,11/7/1995,2-HIGH,Clerk#000000537,0,"even, regular packa",Customer#000000632,MACHINERY
546,1433,O,26227.74,11/1/1996,2-HIGH,Clerk#000000041,0,final notornis detect slyly fluffily express deposits. brav,Customer#000001433,BUILDING
547,983,O,137852.72,6/22/1996,3-MEDIUM,Clerk#000000976,0,bold instructions print fluffily carefully id,Customer#000000983,BUILDING
548,1240,F,139094.89,9/21/1994,1-URGENT,Clerk#000000435,0,quickly regular accounts daz,Customer#000001240,FURNITURE
549,1100,F,211787.3,7/13/1992,1-URGENT,Clerk#000000196,0,"carefully regular foxes integrate ironic, fina",Customer#000001100,BUILDING
550,236,O,54818.45,8/2/1995,1-URGENT,Clerk#000000204,0,carefully even asymptotes sleep furiously sp,Customer#000000236,AUTOMOBILE
551,898,O,64301.4,5/30/1995,1-URGENT,Clerk#000000179,0,"unusual, final accounts use above the special excuses. final depo",Customer#000000898,AUTOMOBILE
576,296,O,24722.97,5/13/1997,3-MEDIUM,Clerk#000000955,0,pending theodolites about the carefu,Customer#000000296,BUILDING
577,553,F,47860.53,12/19/1994,5-LOW,Clerk#000000154,0,blithely unusual packages sl,Customer#000000553,BUILDING
578,926,O,103543,1/10/1997,5-LOW,Clerk#000000281,0,blithely pending asymptotes wake quickly across the carefully final,Customer#000000926,AUTOMOBILE
579,671,O,146610.11,3/11/1998,2-HIGH,Clerk#000000862,0,slyly even requests cajole slyly. sil,Customer#000000671,FURNITURE
580,593,O,144557.44,7/5/1997,2-HIGH,Clerk#000000314,0,final ideas must have to are carefully quickly furious requests,Customer#000000593,AUTOMOBILE
581,688,O,175985.28,2/23/1997,4-NOT SPECIFIED,Clerk#000000239,0,carefully regular dolphins cajole ruthlessl,Customer#000000688,HOUSEHOLD
582,494,O,181813.2,10/21/1997,1-URGENT,Clerk#000000378,0,quietly ironic pinto beans wake carefully. ironic accounts across the dol,Customer#000000494,FURNITURE
583,472,O,154731.76,3/19/1997,3-MEDIUM,Clerk#000000792,0,"blithely final accounts can use. even, final packages thrash",Customer#000000472,MACHINERY
608,260,O,100151.2,2/28/1996,3-MEDIUM,Clerk#000000995,0,carefully ironic dinos,Customer#000000260,MACHINERY
609,1252,F,33980.88,6/1/1994,3-MEDIUM,Clerk#000000348,0,furiously final braids cajole quickly accounts. regul,Customer#000001252,MACHINERY
610,508,O,229411.94,8/2/1995,1-URGENT,Clerk#000000610,0,slyly special instructions use slyly abo,Customer#000000508,BUILDING
611,1055,F,83388.31,1/27/1993,1-URGENT,Clerk#000000401,0,instructions are furiously despite the slyly special pla,Customer#000001055,HOUSEHOLD
612,815,F,232560.07,10/21/1992,3-MEDIUM,Clerk#000000759,0,bold pinto beans wake furiously pinto beans. pending pinto beans poac,Customer#000000815,HOUSEHOLD
613,1384,O,56355.92,6/18/1995,2-HIGH,Clerk#000000172,0,carefully pending packages are bravely am,Customer#000001384,HOUSEHOLD
614,1333,F,325942.94,12/1/1992,2-HIGH,Clerk#000000388,0,final dolphins nod. slyly ironic fo,Customer#000001333,AUTOMOBILE
615,655,F,30990.93,5/9/1992,5-LOW,Clerk#000000388,0,slyly express instructions alongside of the q,Customer#000000655,FURNITURE
640,952,F,210229.36,1/23/1993,2-HIGH,Clerk#000000433,0,theodolites cajole slyly among the even excuses. unusual theodolites,Customer#000000952,AUTOMOBILE
641,1330,F,175084.81,8/30/1993,5-LOW,Clerk#000000175,0,final packages haggle carefully. brave foxes sleep blithel,Customer#000001330,BUILDING
642,400,F,34647.34,12/16/1993,3-MEDIUM,Clerk#000000357,0,quickly unusual theodolites sleep. regular pinto beans affix theodol,Customer#000000400,BUILDING
643,578,P,261882.19,3/25/1995,2-HIGH,Clerk#000000354,0,requests cajole. ruthlessly even frays sleep slyly pending ideas. careful,Customer#000000578,FURNITURE
644,74,F,267079.41,5/1/1992,1-URGENT,Clerk#000000550,0,carefully regular dependencies lose quickl,Customer#000000074,MACHINERY
645,1144,F,350110.21,12/3/1994,2-HIGH,Clerk#000000090,0,fluffily express accounts cajole request,Customer#000001144,BUILDING
646,505,F,192105.59,11/22/1994,2-HIGH,Clerk#000000203,0,"express, ironic packages are quickly. fluffi",Customer#000000505,HOUSEHOLD
647,1430,O,67696.52,8/7/1997,1-URGENT,Clerk#000000270,0,regular packages could b,Customer#000001430,BUILDING
672,1081,F,128581.82,4/14/1994,5-LOW,Clerk#000000106,0,thinly special deposits use s,Customer#000001081,MACHINERY
673,793,F,34950.94,3/10/1994,1-URGENT,Clerk#000000448,0,blithely bold foxes should have to sleep quickly ca,Customer#000000793,BUILDING
674,332,F,27390,8/29/1992,5-LOW,Clerk#000000448,0,slyly ironic courts will na,Customer#000000332,HOUSEHOLD
675,118,O,166843.13,7/31/1997,2-HIGH,Clerk#000000168,0,fluffily special accounts sublate packages. furiously express package,Customer#000000118,AUTOMOBILE
676,380,O,254171.66,12/13/1996,2-HIGH,Clerk#000000248,0,ironic pinto beans above the,Customer#000000380,BUILDING
677,1240,F,205917.22,11/24/1993,3-MEDIUM,Clerk#000000824,0,carefully furious packages after the furiously ironic requests x-ray bli,Customer#000001240,FURNITURE
678,1307,F,208791.37,2/27/1993,5-LOW,Clerk#000000530,0,furiously regular foxe,Customer#000001307,MACHINERY
679,485,O,14905.06,12/15/1995,2-HIGH,Clerk#000000853,0,deposits nag. furiously regular ideas sleep alongside of the even requests.,Customer#000000485,MACHINERY
704,844,O,85100.07,11/21/1996,3-MEDIUM,Clerk#000000682,0,furiously regular accounts integrate blithely. carefully unusual pinto beans,Customer#000000844,BUILDING
705,428,O,117587.4,2/13/1997,4-NOT SPECIFIED,Clerk#000000294,0,slyly ironic theodolites according t,Customer#000000428,BUILDING
706,1474,O,40836.77,9/9/1995,1-URGENT,Clerk#000000448,0,"regular, regular requests wak",Customer#000001474,HOUSEHOLD
707,1162,F,80722.77,11/20/1994,3-MEDIUM,Clerk#000000199,0,instructions cajole qui,Customer#000001162,AUTOMOBILE
708,316,O,127925.56,7/3/1998,3-MEDIUM,Clerk#000000101,0,carefully ironic requests thrash,Customer#000000316,MACHINERY
709,361,O,92115.73,4/21/1998,1-URGENT,Clerk#000000461,0,quickly final excuses sleep quickly. sly,Customer#000000361,BUILDING
710,1312,F,309878.5,1/2/1993,5-LOW,Clerk#000000026,0,slyly ironic accounts haggle blithely according to the ideas. regular foxe,Customer#000001312,BUILDING
711,637,F,99553.27,9/23/1993,4-NOT SPECIFIED,Clerk#000000856,0,frays use carefully across the carefully express dugouts; slyly busy the,Customer#000000637,HOUSEHOLD
736,464,O,200720.61,6/21/1998,5-LOW,Clerk#000000881,0,carefully final pinto beans solve slyly,Customer#000000464,AUTOMOBILE
737,1198,F,20647.65,4/26/1992,5-LOW,Clerk#000000233,0,blithely regular accounts sublate abou,Customer#000001198,AUTOMOBILE
738,208,F,177823.89,3/2/1993,4-NOT SPECIFIED,Clerk#000000669,0,"ironic, even accounts are furiously final accounts. regular accounts",Customer#000000208,MACHINERY
739,4,O,226008.8,5/31/1998,5-LOW,Clerk#000000900,0,carefully thin packages against the regular orbits haggle slyly fina,Customer#000000004,MACHINERY
740,436,O,126713.42,7/16/1995,3-MEDIUM,Clerk#000000583,0,evenly unusual ideas doubt,Customer#000000436,FURNITURE
741,1045,O,81912.56,7/7/1998,2-HIGH,Clerk#000000295,0,blithely ironic requests,Customer#000001045,HOUSEHOLD
742,1030,F,258834.44,12/23/1994,5-LOW,Clerk#000000543,0,furiously bold requests cajole. requests sleep qui,Customer#000001030,HOUSEHOLD
743,784,O,39284.49,10/4/1996,4-NOT SPECIFIED,Clerk#000000933,0,carefully express deposits against the slyly even dugou,Customer#000000784,BUILDING
768,971,O,294534.22,8/20/1996,3-MEDIUM,Clerk#000000411,0,furiously regular p,Customer#000000971,AUTOMOBILE
769,800,F,65622.27,6/2/1993,3-MEDIUM,Clerk#000000172,0,furiously express dependencies sl,Customer#000000800,AUTOMOBILE
770,320,O,99554.29,5/23/1998,5-LOW,Clerk#000000572,0,quickly bold deposits wake furiously against the,Customer#000000320,MACHINERY
771,446,O,151561.45,6/17/1995,1-URGENT,Clerk#000000105,0,fluffily regular epitaphs cajole furious,Customer#000000446,FURNITURE
