starttime,day,month,year,quarter,hour,minute
6/8/2015 17:41,8,6,2015,2,17,41
10/4/2015 0:25,4,10,2015,4,0,25
12/11/2014 18:55,11,12,2014,4,18,55
8/30/2015 22:26,30,8,2015,3,22,26
9/20/2015 15:31,20,9,2015,3,15,31
5/4/2015 14:09,4,5,2015,2,14,9
9/9/2015 13:51,9,9,2015,3,13,51
4/6/2015 8:26,6,4,2015,2,8,26
6/5/2015 12:40,5,6,2015,2,12,40
6/2/2015 9:58,2,6,2015,2,9,58
7/1/2015 8:30,1,7,2015,3,8,30
7/30/2015 18:11,30,7,2015,3,18,11
12/17/2014 9:55,17,12,2014,4,9,55
6/18/2015 16:00,18,6,2015,2,16,0
8/24/2015 17:45,24,8,2015,3,17,45
1/12/2015 7:58,12,1,2015,1,7,58
3/3/2015 14:00,3,3,2015,1,14,0
8/25/2015 7:27,25,8,2015,3,7,27
7/15/2015 16:39,15,7,2015,3,16,39
7/22/2015 9:32,22,7,2015,3,9,32
8/23/2015 15:10,23,8,2015,3,15,10
7/12/2015 17:35,12,7,2015,3,17,35
3/9/2015 13:09,9,3,2015,1,13,9
8/11/2015 10:42,11,8,2015,3,10,42
5/29/2015 10:04,29,5,2015,2,10,4
6/5/2015 16:45,5,6,2015,2,16,45
9/21/2015 7:09,21,9,2015,3,7,9
6/7/2015 6:50,7,6,2015,2,6,50
2/22/2015 15:16,22,2,2015,1,15,16
3/12/2015 8:11,12,3,2015,1,8,11
7/25/2015 16:01,25,7,2015,3,16,1
8/23/2015 0:08,23,8,2015,3,0,8
7/13/2015 17:44,13,7,2015,3,17,44
1/31/2015 7:50,31,1,2015,1,7,50
11/24/2014 23:32,24,11,2014,4,23,32
6/20/2015 12:36,20,6,2015,2,12,36
10/19/2014 1:06,19,10,2014,4,1,6
5/26/2015 18:06,26,5,2015,2,18,6
2/13/2015 17:08,13,2,2015,1,17,8
3/9/2015 17:42,9,3,2015,1,17,42
1/25/2015 16:23,25,1,2015,1,16,23
4/9/2015 18:05,9,4,2015,2,18,5
6/2/2015 19:08,2,6,2015,2,19,8
2/25/2015 10:57,25,2,2015,1,10,57
7/27/2015 17:08,27,7,2015,3,17,8
12/15/2014 15:23,15,12,2014,4,15,23
9/7/2015 1:21,7,9,2015,3,1,21
2/18/2015 16:01,18,2,2015,1,16,1
7/2/2015 22:29,2,7,2015,3,22,29
7/8/2015 19:04,8,7,2015,3,19,4
7/3/2015 23:37,3,7,2015,3,23,37
5/30/2015 15:24,30,5,2015,2,15,24
10/25/2014 14:04,25,10,2014,4,14,4
5/18/2015 17:39,18,5,2015,2,17,39
9/30/2015 20:26,30,9,2015,3,20,26
2/10/2015 13:41,10,2,2015,1,13,41
9/11/2015 15:47,11,9,2015,3,15,47
5/17/2015 17:57,17,5,2015,2,17,57
9/17/2015 8:26,17,9,2015,3,8,26
5/7/2015 21:57,7,5,2015,2,21,57
9/29/2015 19:25,29,9,2015,3,19,25
6/26/2015 10:12,26,6,2015,2,10,12
12/25/2014 8:40,25,12,2014,4,8,40
9/24/2015 19:53,24,9,2015,3,19,53
5/17/2015 17:24,17,5,2015,2,17,24
5/7/2015 13:05,7,5,2015,2,13,5
2/13/2015 10:48,13,2,2015,1,10,48
2/4/2015 18:10,4,2,2015,1,18,10
8/28/2015 9:49,28,8,2015,3,9,49
7/12/2015 21:15,12,7,2015,3,21,15
3/17/2015 12:01,17,3,2015,1,12,1
7/18/2015 8:25,18,7,2015,3,8,25
5/19/2015 12:30,19,5,2015,2,12,30
10/24/2014 14:50,24,10,2014,4,14,50
6/30/2015 15:21,30,6,2015,2,15,21
6/8/2015 18:56,8,6,2015,2,18,56
4/23/2015 7:40,23,4,2015,2,7,40
1/20/2015 8:32,20,1,2015,1,8,32
1/12/2015 8:22,12,1,2015,1,8,22
4/22/2015 15:00,22,4,2015,2,15,0
9/16/2015 9:08,16,9,2015,3,9,8
5/23/2015 21:41,23,5,2015,2,21,41
8/18/2015 20:47,18,8,2015,3,20,47
5/28/2015 14:26,28,5,2015,2,14,26
4/25/2015 16:05,25,4,2015,2,16,5
5/24/2015 20:36,24,5,2015,2,20,36
2/28/2015 10:37,28,2,2015,1,10,37
2/26/2015 8:31,26,2,2015,1,8,31
10/26/2014 16:39,26,10,2014,4,16,39
7/17/2015 17:09,17,7,2015,3,17,9
7/18/2015 18:59,18,7,2015,3,18,59
2/24/2015 6:30,24,2,2015,1,6,30
5/15/2015 18:20,15,5,2015,2,18,20
8/16/2015 21:35,16,8,2015,3,21,35
1/20/2015 10:46,20,1,2015,1,10,46
4/29/2015 15:06,29,4,2015,2,15,6
7/10/2015 7:02,10,7,2015,3,7,2
9/28/2015 19:39,28,9,2015,3,19,39
3/25/2015 17:17,25,3,2015,1,17,17
12/22/2014 11:36,22,12,2014,4,11,36
7/28/2015 8:25,28,7,2015,3,8,25
7/28/2015 8:47,28,7,2015,3,8,47
7/1/2015 6:36,1,7,2015,3,6,36
3/30/2015 18:06,30,3,2015,1,18,6
2/14/2015 16:13,14,2,2015,1,16,13
12/22/2014 13:48,22,12,2014,4,13,48
8/4/2015 10:35,4,8,2015,3,10,35
10/11/2015 11:10,11,10,2015,4,11,10
8/4/2015 13:30,4,8,2015,3,13,30
9/20/2015 11:16,20,9,2015,3,11,16
5/15/2015 11:22,15,5,2015,2,11,22
1/5/2015 17:44,5,1,2015,1,17,44
3/23/2015 8:03,23,3,2015,1,8,3
4/27/2015 15:42,27,4,2015,2,15,42
9/20/2015 16:06,20,9,2015,3,16,6
10/27/2014 0:42,27,10,2014,4,0,42
6/9/2015 22:19,9,6,2015,2,22,19
3/30/2015 21:29,30,3,2015,1,21,29
9/15/2015 18:23,15,9,2015,3,18,23
5/16/2015 19:31,16,5,2015,2,19,31
5/28/2015 17:42,28,5,2015,2,17,42
12/1/2014 21:22,1,12,2014,4,21,22
8/22/2015 16:08,22,8,2015,3,16,8
5/22/2015 12:51,22,5,2015,2,12,51
5/19/2015 15:37,19,5,2015,2,15,37
6/20/2015 15:00,20,6,2015,2,15,0
10/15/2014 17:43,15,10,2014,4,17,43
1/22/2015 21:35,22,1,2015,1,21,35
6/26/2015 8:43,26,6,2015,2,8,43
7/7/2015 15:43,7,7,2015,3,15,43
1/21/2015 18:41,21,1,2015,1,18,41
6/17/2015 16:49,17,6,2015,2,16,49
9/9/2015 15:24,9,9,2015,3,15,24
7/31/2015 8:48,31,7,2015,3,8,48
12/7/2014 18:06,7,12,2014,4,18,6
7/5/2015 16:46,5,7,2015,3,16,46
5/22/2015 8:17,22,5,2015,2,8,17
10/18/2014 13:00,18,10,2014,4,13,0
7/3/2015 22:17,3,7,2015,3,22,17
2/21/2015 15:06,21,2,2015,1,15,6
7/5/2015 17:41,5,7,2015,3,17,41
7/19/2015 12:12,19,7,2015,3,12,12
3/22/2015 15:04,22,3,2015,1,15,4
7/25/2015 23:05,25,7,2015,3,23,5
6/24/2015 12:07,24,6,2015,2,12,7
7/27/2015 10:42,27,7,2015,3,10,42
6/21/2015 22:31,21,6,2015,2,22,31
2/17/2015 11:25,17,2,2015,1,11,25
4/24/2015 21:24,24,4,2015,2,21,24
9/22/2015 17:22,22,9,2015,3,17,22
2/18/2015 8:30,18,2,2015,1,8,30
5/23/2015 19:09,23,5,2015,2,19,9
6/26/2015 15:23,26,6,2015,2,15,23
12/25/2014 13:19,25,12,2014,4,13,19
12/23/2014 11:32,23,12,2014,4,11,32
8/2/2015 14:38,2,8,2015,3,14,38
12/11/2014 9:58,11,12,2014,4,9,58
6/15/2015 14:42,15,6,2015,2,14,42
8/3/2015 16:33,3,8,2015,3,16,33
8/28/2015 18:16,28,8,2015,3,18,16
10/28/2014 17:03,28,10,2014,4,17,3
2/17/2015 15:10,17,2,2015,1,15,10
8/4/2015 15:04,4,8,2015,3,15,4
4/26/2015 19:16,26,4,2015,2,19,16
8/10/2015 15:49,10,8,2015,3,15,49
4/17/2015 15:58,17,4,2015,2,15,58
10/1/2015 7:22,1,10,2015,4,7,22
1/28/2015 16:59,28,1,2015,1,16,59
2/27/2015 18:35,27,2,2015,1,18,35
12/21/2014 15:11,21,12,2014,4,15,11
4/21/2015 18:50,21,4,2015,2,18,50
9/15/2015 17:06,15,9,2015,3,17,6
5/25/2015 15:01,25,5,2015,2,15,1
12/13/2014 9:35,13,12,2014,4,9,35
1/30/2015 15:06,30,1,2015,1,15,6
12/6/2014 12:05,6,12,2014,4,12,5
1/11/2015 16:04,11,1,2015,1,16,4
7/2/2015 17:46,2,7,2015,3,17,46
8/7/2015 21:18,7,8,2015,3,21,18
9/23/2015 9:50,23,9,2015,3,9,50
8/1/2015 9:44,1,8,2015,3,9,44
3/24/2015 17:01,24,3,2015,1,17,1
8/2/2015 9:35,2,8,2015,3,9,35
6/13/2015 16:56,13,6,2015,2,16,56
8/19/2015 15:32,19,8,2015,3,15,32
6/20/2015 17:15,20,6,2015,2,17,15
9/25/2015 10:48,25,9,2015,3,10,48
5/30/2015 15:23,30,5,2015,2,15,23
10/26/2014 10:15,26,10,2014,4,10,15
10/4/2015 13:45,4,10,2015,4,13,45
12/21/2014 11:23,21,12,2014,4,11,23
6/3/2015 18:35,3,6,2015,2,18,35
9/26/2015 13:26,26,9,2015,3,13,26
2/26/2015 17:58,26,2,2015,1,17,58
6/6/2015 12:38,6,6,2015,2,12,38
7/30/2015 14:19,30,7,2015,3,14,19
3/24/2015 8:50,24,3,2015,1,8,50
10/23/2014 12:55,23,10,2014,4,12,55
4/18/2015 11:06,18,4,2015,2,11,6
9/30/2015 16:25,30,9,2015,3,16,25
2/5/2015 15:19,5,2,2015,1,15,19
9/2/2015 19:00,2,9,2015,3,19,0
1/29/2015 6:58,29,1,2015,1,6,58
7/7/2015 7:43,7,7,2015,3,7,43
3/6/2015 22:54,6,3,2015,1,22,54
6/10/2015 15:54,10,6,2015,2,15,54
8/15/2015 15:59,15,8,2015,3,15,59
8/27/2015 7:22,27,8,2015,3,7,22
8/4/2015 13:55,4,8,2015,3,13,55
7/10/2015 9:06,10,7,2015,3,9,6
8/27/2015 13:27,27,8,2015,3,13,27
7/17/2015 13:50,17,7,2015,3,13,50
5/19/2015 10:49,19,5,2015,2,10,49
8/20/2015 18:42,20,8,2015,3,18,42
3/31/2015 17:02,31,3,2015,1,17,2
2/10/2015 8:39,10,2,2015,1,8,39
2/24/2015 12:13,24,2,2015,1,12,13
2/26/2015 9:55,26,2,2015,1,9,55
5/3/2015 19:18,3,5,2015,2,19,18
8/9/2015 16:43,9,8,2015,3,16,43
3/20/2015 18:54,20,3,2015,1,18,54
2/17/2015 13:26,17,2,2015,1,13,26
5/5/2015 8:41,5,5,2015,2,8,41
1/13/2015 16:52,13,1,2015,1,16,52
6/4/2015 7:52,4,6,2015,2,7,52
9/14/2015 18:42,14,9,2015,3,18,42
7/9/2015 12:00,9,7,2015,3,12,0
1/12/2015 7:22,12,1,2015,1,7,22
4/8/2015 9:28,8,4,2015,2,9,28
7/25/2015 14:15,25,7,2015,3,14,15
10/7/2015 15:43,7,10,2015,4,15,43
7/22/2015 13:51,22,7,2015,3,13,51
7/10/2015 9:32,10,7,2015,3,9,32
3/24/2015 9:23,24,3,2015,1,9,23
6/16/2015 20:56,16,6,2015,2,20,56
9/12/2015 15:32,12,9,2015,3,15,32
4/4/2015 16:30,4,4,2015,2,16,30
12/27/2014 13:49,27,12,2014,4,13,49
12/19/2014 11:29,19,12,2014,4,11,29
5/13/2015 22:08,13,5,2015,2,22,8
7/29/2015 20:35,29,7,2015,3,20,35
10/7/2015 19:10,7,10,2015,4,19,10
8/10/2015 10:16,10,8,2015,3,10,16
7/18/2015 18:11,18,7,2015,3,18,11
4/16/2015 11:32,16,4,2015,2,11,32
8/21/2015 17:02,21,8,2015,3,17,2
4/10/2015 8:53,10,4,2015,2,8,53
8/31/2015 8:58,31,8,2015,3,8,58
3/12/2015 10:31,12,3,2015,1,10,31
12/3/2014 11:33,3,12,2014,4,11,33
9/11/2015 8:32,11,9,2015,3,8,32
6/29/2015 21:19,29,6,2015,2,21,19
8/2/2015 15:42,2,8,2015,3,15,42
1/5/2015 9:49,5,1,2015,1,9,49
3/26/2015 18:11,26,3,2015,1,18,11
1/26/2015 5:14,26,1,2015,1,5,14
3/10/2015 17:34,10,3,2015,1,17,34
5/10/2015 13:39,10,5,2015,2,13,39
8/17/2015 18:17,17,8,2015,3,18,17
6/20/2015 12:33,20,6,2015,2,12,33
11/1/2014 3:54,1,11,2014,4,3,54
4/18/2015 20:54,18,4,2015,2,20,54
6/20/2015 17:07,20,6,2015,2,17,7
10/16/2014 14:11,16,10,2014,4,14,11
5/23/2015 13:02,23,5,2015,2,13,2
8/2/2015 16:15,2,8,2015,3,16,15
7/21/2015 11:26,21,7,2015,3,11,26
9/3/2015 9:04,3,9,2015,3,9,4
10/13/2014 11:37,13,10,2014,4,11,37
6/14/2015 13:28,14,6,2015,2,13,28
6/27/2015 20:17,27,6,2015,2,20,17
7/21/2015 8:35,21,7,2015,3,8,35
1/17/2015 12:55,17,1,2015,1,12,55
9/8/2015 18:13,8,9,2015,3,18,13
9/14/2015 17:59,14,9,2015,3,17,59
3/27/2015 15:20,27,3,2015,1,15,20
10/25/2014 13:37,25,10,2014,4,13,37
7/14/2015 14:15,14,7,2015,3,14,15
3/20/2015 7:50,20,3,2015,1,7,50
6/16/2015 17:46,16,6,2015,2,17,46
8/10/2015 10:20,10,8,2015,3,10,20
6/11/2015 5:47,11,6,2015,2,5,47
6/6/2015 0:31,6,6,2015,2,0,31
3/9/2015 7:42,9,3,2015,1,7,42
4/19/2015 18:36,19,4,2015,2,18,36
8/18/2015 10:41,18,8,2015,3,10,41
6/9/2015 11:39,9,6,2015,2,11,39
8/6/2015 12:04,6,8,2015,3,12,4
5/21/2015 15:45,21,5,2015,2,15,45
8/28/2015 14:07,28,8,2015,3,14,7
9/8/2015 11:59,8,9,2015,3,11,59
4/10/2015 4:59,10,4,2015,2,4,59
2/26/2015 15:14,26,2,2015,1,15,14
11/26/2014 7:41,26,11,2014,4,7,41
6/4/2015 15:56,4,6,2015,2,15,56
10/2/2015 11:37,2,10,2015,4,11,37
4/13/2015 16:28,13,4,2015,2,16,28
8/16/2015 12:02,16,8,2015,3,12,2
5/22/2015 12:54,22,5,2015,2,12,54
5/19/2015 18:18,19,5,2015,2,18,18
10/28/2014 19:46,28,10,2014,4,19,46
6/3/2015 17:48,3,6,2015,2,17,48
8/12/2015 15:37,12,8,2015,3,15,37
4/20/2015 18:16,20,4,2015,2,18,16
2/16/2015 8:52,16,2,2015,1,8,52
10/18/2014 17:55,18,10,2014,4,17,55
5/29/2015 6:53,29,5,2015,2,6,53
8/21/2015 9:26,21,8,2015,3,9,26
11/12/2014 16:28,12,11,2014,4,16,28
10/18/2014 20:32,18,10,2014,4,20,32
10/31/2014 12:47,31,10,2014,4,12,47
6/26/2015 21:20,26,6,2015,2,21,20
7/4/2015 21:31,4,7,2015,3,21,31
1/8/2015 18:25,8,1,2015,1,18,25
8/15/2015 14:56,15,8,2015,3,14,56
11/21/2014 18:11,21,11,2014,4,18,11
8/28/2015 12:44,28,8,2015,3,12,44
3/13/2015 18:19,13,3,2015,1,18,19
9/28/2015 7:23,28,9,2015,3,7,23
1/27/2015 8:16,27,1,2015,1,8,16
10/5/2015 8:09,5,10,2015,4,8,9
7/31/2015 13:00,31,7,2015,3,13,0
4/16/2015 15:33,16,4,2015,2,15,33
7/28/2015 8:49,28,7,2015,3,8,49
4/24/2015 8:57,24,4,2015,2,8,57
8/26/2015 9:01,26,8,2015,3,9,1
7/15/2015 7:54,15,7,2015,3,7,54
4/26/2015 13:54,26,4,2015,2,13,54
7/5/2015 11:29,5,7,2015,3,11,29
9/7/2015 9:12,7,9,2015,3,9,12
11/7/2014 18:34,7,11,2014,4,18,34
7/8/2015 17:49,8,7,2015,3,17,49
9/28/2015 21:33,28,9,2015,3,21,33
5/7/2015 22:16,7,5,2015,2,22,16
8/28/2015 8:22,28,8,2015,3,8,22
7/14/2015 8:16,14,7,2015,3,8,16
7/23/2015 10:39,23,7,2015,3,10,39
6/5/2015 9:09,5,6,2015,2,9,9
1/26/2015 13:16,26,1,2015,1,13,16
5/2/2015 15:39,2,5,2015,2,15,39
8/16/2015 20:41,16,8,2015,3,20,41
8/10/2015 11:50,10,8,2015,3,11,50
11/30/2014 0:20,30,11,2014,4,0,20
8/16/2015 21:38,16,8,2015,3,21,38
10/3/2015 16:35,3,10,2015,4,16,35
8/8/2015 19:41,8,8,2015,3,19,41
6/22/2015 19:06,22,6,2015,2,19,6
5/25/2015 14:45,25,5,2015,2,14,45
12/25/2014 12:54,25,12,2014,4,12,54
2/13/2015 9:55,13,2,2015,1,9,55
8/11/2015 10:25,11,8,2015,3,10,25
10/27/2014 12:06,27,10,2014,4,12,6
5/2/2015 17:16,2,5,2015,2,17,16
11/19/2014 20:41,19,11,2014,4,20,41
4/17/2015 13:16,17,4,2015,2,13,16
8/11/2015 17:41,11,8,2015,3,17,41
3/5/2015 21:07,5,3,2015,1,21,7
7/17/2015 15:50,17,7,2015,3,15,50
8/4/2015 13:29,4,8,2015,3,13,29
7/31/2015 17:27,31,7,2015,3,17,27
3/20/2015 11:55,20,3,2015,1,11,55
1/14/2015 7:44,14,1,2015,1,7,44
7/9/2015 8:36,9,7,2015,3,8,36
5/15/2015 5:46,15,5,2015,2,5,46
10/30/2014 7:29,30,10,2014,4,7,29
2/28/2015 15:58,28,2,2015,1,15,58
6/5/2015 23:15,5,6,2015,2,23,15
8/9/2015 22:12,9,8,2015,3,22,12
4/14/2015 20:56,14,4,2015,2,20,56
2/19/2015 9:13,19,2,2015,1,9,13
6/19/2015 13:45,19,6,2015,2,13,45
1/8/2015 8:15,8,1,2015,1,8,15
7/5/2015 12:46,5,7,2015,3,12,46
10/29/2014 17:51,29,10,2014,4,17,51
10/18/2014 16:20,18,10,2014,4,16,20
3/12/2015 10:48,12,3,2015,1,10,48
11/16/2014 0:33,16,11,2014,4,0,33
7/7/2015 22:16,7,7,2015,3,22,16
4/21/2015 9:49,21,4,2015,2,9,49
7/5/2015 13:31,5,7,2015,3,13,31
6/26/2015 21:18,26,6,2015,2,21,18
7/26/2015 13:49,26,7,2015,3,13,49
4/9/2015 11:29,9,4,2015,2,11,29
5/25/2015 17:36,25,5,2015,2,17,36
8/11/2015 16:34,11,8,2015,3,16,34
7/31/2015 11:20,31,7,2015,3,11,20
7/13/2015 10:24,13,7,2015,3,10,24
7/10/2015 18:21,10,7,2015,3,18,21
7/16/2015 20:29,16,7,2015,3,20,29
5/8/2015 16:25,8,5,2015,2,16,25
2/11/2015 12:54,11,2,2015,1,12,54
8/28/2015 17:52,28,8,2015,3,17,52
9/11/2015 20:54,11,9,2015,3,20,54
8/19/2015 17:05,19,8,2015,3,17,5
3/9/2015 12:34,9,3,2015,1,12,34
7/30/2015 10:51,30,7,2015,3,10,51
6/5/2015 12:59,5,6,2015,2,12,59
5/15/2015 12:06,15,5,2015,2,12,6
9/15/2015 9:02,15,9,2015,3,9,2
7/14/2015 21:35,14,7,2015,3,21,35
4/1/2015 6:23,1,4,2015,2,6,23
7/23/2015 9:46,23,7,2015,3,9,46
5/11/2015 18:08,11,5,2015,2,18,8
4/19/2015 16:26,19,4,2015,2,16,26
9/22/2015 13:42,22,9,2015,3,13,42
4/5/2015 22:34,5,4,2015,2,22,34
4/1/2015 23:46,1,4,2015,2,23,46
4/20/2015 18:04,20,4,2015,2,18,4
6/3/2015 17:34,3,6,2015,2,17,34
7/23/2015 19:00,23,7,2015,3,19,0
1/19/2015 18:33,19,1,2015,1,18,33
4/5/2015 0:24,5,4,2015,2,0,24
6/4/2015 16:03,4,6,2015,2,16,3
9/6/2015 11:05,6,9,2015,3,11,5
8/27/2015 7:38,27,8,2015,3,7,38
5/9/2015 9:51,9,5,2015,2,9,51
6/21/2015 17:00,21,6,2015,2,17,0
7/28/2015 19:43,28,7,2015,3,19,43
8/17/2015 10:16,17,8,2015,3,10,16
6/5/2015 17:37,5,6,2015,2,17,37
10/11/2015 19:43,11,10,2015,4,19,43
2/5/2015 10:30,5,2,2015,1,10,30
5/22/2015 8:37,22,5,2015,2,8,37
6/20/2015 0:30,20,6,2015,2,0,30
7/24/2015 16:16,24,7,2015,3,16,16
3/28/2015 1:07,28,3,2015,1,1,7
2/27/2015 9:43,27,2,2015,1,9,43
10/21/2014 16:20,21,10,2014,4,16,20
5/19/2015 17:43,19,5,2015,2,17,43
3/10/2015 14:15,10,3,2015,1,14,15
9/16/2015 20:26,16,9,2015,3,20,26
5/4/2015 13:52,4,5,2015,2,13,52
9/11/2015 4:23,11,9,2015,3,4,23
6/11/2015 8:53,11,6,2015,2,8,53
1/26/2015 10:46,26,1,2015,1,10,46
4/22/2015 7:51,22,4,2015,2,7,51
3/23/2015 15:47,23,3,2015,1,15,47
9/25/2015 17:37,25,9,2015,3,17,37
7/2/2015 13:15,2,7,2015,3,13,15
9/14/2015 9:11,14,9,2015,3,9,11
9/11/2015 15:02,11,9,2015,3,15,2
6/17/2015 8:08,17,6,2015,2,8,8
9/27/2015 17:33,27,9,2015,3,17,33
2/13/2015 12:20,13,2,2015,1,12,20
2/24/2015 16:46,24,2,2015,1,16,46
7/2/2015 7:44,2,7,2015,3,7,44
5/21/2015 8:25,21,5,2015,2,8,25
2/12/2015 10:41,12,2,2015,1,10,41
3/7/2015 17:30,7,3,2015,1,17,30
1/1/2015 3:07,1,1,2015,1,3,7
6/11/2015 15:34,11,6,2015,2,15,34
8/11/2015 15:58,11,8,2015,3,15,58
7/11/2015 19:22,11,7,2015,3,19,22
1/30/2015 17:32,30,1,2015,1,17,32
8/8/2015 10:54,8,8,2015,3,10,54
5/21/2015 18:25,21,5,2015,2,18,25
8/3/2015 19:58,3,8,2015,3,19,58
